,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
93,tt6593054,Drive,Drive,2019,147.0,"['Action', 'Crime', 'Drama']",36,"Sep 16, 2011",Drive,15000000.0,35060689.0,81357930.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,66357930.0
94,tt0780653,The Wolfman,The Wolfman,2010,103.0,"['Drama', 'Fantasy', 'Horror']",91,"Feb 12, 2010",The Wolfman,150000000.0,62189884.0,142634358.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,-7365642.0
95,tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,"['Adventure', 'Animation', 'Comedy']",94,"Sep 26, 2014",The Boxtrolls,60000000.0,50837305.0,111946251.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,51946251.0
96,tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108.0,"['Biography', 'Drama']",67,"Apr 29, 2016",The Man Who Knew Infinity,10000000.0,3877922.0,12382122.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2382122.0
97,tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"['Adventure', 'Comedy', 'Fantasy']",7,"Mar 15, 2013",The Incredible Burt Wonderstone,32000000.0,22537881.0,27392609.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-4607391.0
98,tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,"['Biography', 'Drama']",73,"Nov 1, 2013",Dallas Buyers Club,5000000.0,27298285.0,60611845.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,55611845.0
99,tt0790724,Jack Reacher,Jack Reacher,2012,130.0,"['Action', 'Crime', 'Thriller']",68,"Dec 21, 2012",Jack Reacher,60000000.0,80070736.0,217370736.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,157370736.0
100,tt0790736,R.I.P.D.,R.I.P.D.,2013,96.0,"['Action', 'Adventure', 'Comedy']",55,"Jul 19, 2013",R.I.P.D.,130000000.0,33618855.0,79076678.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-50923322.0
101,tt0800320,Clash of the Titans,Clash of the Titans,2010,106.0,"['Action', 'Adventure', 'Fantasy']",72,"Apr 1, 2010",Clash of the Titans,125000000.0,163214888.0,493214888.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,368214888.0
102,tt0800320,Clash of the Titans,Clash of the Titans,2010,106.0,"['Action', 'Adventure', 'Fantasy']",51,"Jun 12, 1981",Clash of the Titans,15000000.0,30000000.0,44400000.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,29400000.0
